id;valor;data;posto
5414950;20.0;2021-12-27;72
5414949;0.0;2021-12-26;72
5414075;0.0;2021-12-25;72
5414074;0.0;2021-12-24;72
5414073;0.0;2021-12-23;72
5414072;0.0;2021-12-22;72
5412464;0.0;2021-12-21;72
5412463;0.0;2021-12-20;72
5412462;0.0;2021-12-19;72
5412461;0.0;2021-12-18;72
5412460;0.0;2021-12-17;72
5412459;0.0;2021-12-16;72
5412458;0.0;2021-12-15;72
5409433;0.0;2021-12-14;72
5409432;0.0;2021-12-13;72
5409431;0.0;2021-12-12;72
5409430;0.0;2021-12-11;72
5407169;0.0;2021-12-10;72
5406843;0.0;2021-12-09;72
5406842;0.0;2021-12-08;72
5406841;0.0;2021-12-07;72
5406840;0.0;2021-12-06;72
5406839;0.0;2021-12-05;72
5406838;0.0;2021-12-04;72
5406837;0.0;2021-12-03;72
5406836;0.0;2021-12-02;72
5406835;0.0;2021-12-01;72
5401994;0.0;2021-11-30;72
5401993;0.0;2021-11-29;72
5401992;0.0;2021-11-28;72
5401991;0.0;2021-11-27;72
5401990;0.0;2021-11-26;72
5401989;0.0;2021-11-25;72
5401988;0.0;2021-11-24;72
5398120;0.0;2021-11-23;72
5398119;0.0;2021-11-22;72
5398118;0.0;2021-11-21;72
5398117;0.0;2021-11-20;72
5398116;0.0;2021-11-19;72
5395671;0.0;2021-11-18;72
5395670;0.0;2021-11-17;72
5394154;0.0;2021-11-16;72
5394153;0.0;2021-11-15;72
5394152;0.0;2021-11-14;72
5394151;0.0;2021-11-13;72
5394150;0.0;2021-11-12;72
5394149;0.0;2021-11-11;72
5394148;0.0;2021-11-10;72
5394147;0.0;2021-11-09;72
5389574;0.0;2021-11-08;72
5389573;0.0;2021-11-07;72
5389572;0.0;2021-11-06;72
5389571;0.0;2021-11-05;72
5387509;0.0;2021-11-04;72
5387508;0.0;2021-11-03;72
5387507;0.0;2021-11-02;72
5387506;0.0;2021-11-01;72
5387501;0.0;2021-10-31;72
5387500;0.0;2021-10-30;72
5387499;0.0;2021-10-29;72
5387498;0.0;2021-10-28;72
5384101;0.0;2021-10-27;72
5383478;0.0;2021-10-26;72
5382513;0.0;2021-10-25;72
5382512;0.0;2021-10-24;72
5382511;0.0;2021-10-23;72
5381022;0.0;2021-10-22;72
5380589;0.0;2021-10-21;72
5379997;0.0;2021-10-20;72
5378795;0.0;2021-10-19;72
5378794;0.0;2021-10-18;72
5378793;0.0;2021-10-17;72
5378792;0.0;2021-10-16;72
5377456;0.0;2021-10-15;72
5376663;0.0;2021-10-14;72
5376662;0.0;2021-10-13;72
5376661;0.0;2021-10-12;72
5374770;0.0;2021-10-11;72
5374769;0.0;2021-10-10;72
